# Menlo Systems GmbH ScanControl
# Program Version 1.7.0+git.a90605a3
# Start: -710.00000000 ps, Average over 5000 waveforms. Timestamp: 2023-11-21T15:39:04
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Time [ps]	THz Signal [a.u.]
-691.31620061	-0.05734568
-691.28286727	-0.05256866
-691.24953394	-0.04704826
-691.21620061	-0.04096285
-691.18286727	-0.03464565
-691.14953394	-0.02851964
-691.11620061	-0.02306894
-691.08286727	-0.01833748
-691.04953394	-0.01396645
-691.01620061	-0.00983295
-690.98286727	-0.00605115
-690.94953394	-0.00291748
-690.91620061	-0.00048294
-690.88286728	0.00132832
-690.84953394	0.00258185
-690.81620061	0.00320390
-690.78286728	0.00315027
-690.74953394	0.00224888
-690.71620061	0.00073715
-690.68286728	-0.00100111
-690.64953394	-0.00259379
-690.61620061	-0.00366932
-690.58286728	-0.00367204
-690.54953394	-0.00306024
-690.51620061	-0.00195788
-690.48286728	-0.00144049
-690.44953395	-0.00202139
-690.41620061	-0.00404116
-690.38286728	-0.00747721
-690.34953395	-0.01173258
-690.31620061	-0.01636568
-690.28286728	-0.02083889
-690.24953395	-0.02504889
-690.21620061	-0.02879655
-690.18286728	-0.03198321
-690.14953395	-0.03437755
-690.11620061	-0.03571399
-690.08286728	-0.03592689
-690.04953395	-0.03472943
-690.01620062	-0.03219334
-689.98286728	-0.02863559
-689.94953395	-0.02412755
-689.91620062	-0.01911784
-689.88286728	-0.01402668
-689.84953395	-0.00895899
-689.81620062	-0.00407900
-689.78286728	0.00037771
-689.74953395	0.00397308
-689.71620062	0.00631429
-689.68286729	0.00749009
-689.64953395	0.00761693
-689.61620062	0.00730319
-689.58286729	0.00717339
-689.54953395	0.00769871
-689.51620062	0.00890524
-689.48286729	0.01070789
-689.44953395	0.01240347
-689.41620062	0.01325021
-689.38286729	0.01296566
-689.34953395	0.01166795
-689.31620062	0.00974493
-689.28286729	0.00783170
-689.24953396	0.00611993
-689.21620062	0.00474527
-689.18286729	0.00364489
-689.14953396	0.00274279
-689.11620062	0.00198502
-689.08286729	0.00173131
-689.04953396	0.00185608
-689.01620062	0.00275180
-688.98286729	0.00430184
-688.94953396	0.00615307
-688.91620062	0.00813099
-688.88286729	0.00978981
-688.84953396	0.01127518
-688.81620063	0.01259090
-688.78286729	0.01410238
-688.74953396	0.01582611
-688.71620063	0.01762844
-688.68286729	0.01922422
-688.64953396	0.02034868
-688.61620063	0.02049348
-688.58286729	0.01944686
-688.54953396	0.01718538
-688.51620063	0.01413031
-688.48286729	0.01063394
-688.44953396	0.00736969
-688.41620063	0.00475159
-688.38286730	0.00335577
-688.34953396	0.00351811
-688.31620063	0.00517879
-688.28286730	0.00824338
-688.24953396	0.01231157
-688.21620063	0.01702677
-688.18286730	0.02226312
-688.14953396	0.02771115
-688.11620063	0.03305069
-688.08286730	0.03794419
-688.04953396	0.04241835
-688.01620063	0.04646001
-687.98286730	0.05005971
-687.94953397	0.05315833
-687.91620063	0.05499807
-687.88286730	0.05495437
-687.84953397	0.05202641
-687.81620063	0.04539646
-687.78286730	0.03423075
-687.74953397	0.01809925
-687.71620063	-0.00288551
-687.68286730	-0.02843215
-687.64953397	-0.05823023
-687.61620064	-0.09169544
-687.58286730	-0.12788979
-687.54953397	-0.16553857
-687.51620064	-0.20253487
-687.48286730	-0.23582873
-687.44953397	-0.26164851
-687.41620064	-0.27576348
-687.38286730	-0.27489454
-687.34953397	-0.25703753
-687.31620064	-0.22217745
-687.28286730	-0.17283585
-687.24953397	-0.11323444
-687.21620064	-0.04870518
-687.18286731	0.01560161
-687.14953397	0.07469430
-687.11620064	0.12450774
-687.08286731	0.16234752
-687.04953397	0.18674414
-687.01620064	0.19774878
-686.98286731	0.19642730
-686.94953397	0.18422872
-686.91620064	0.16316681
-686.88286731	0.13526757
-686.84953397	0.10273260
-686.81620064	0.06828164
-686.78286731	0.03471519
