# Menlo Systems GmbH ScanControl
# Program Version 1.7.0+git.a90605a3
# Start: -710.00000000 ps, Average over 2000 waveforms. Timestamp: 2023-11-21T14:28:46
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Frequency [THz]	THz Signal [a.u.]
3.67034351	-43.77898274
3.67766955	-44.92341968
3.68499558	-45.22503162
3.69232162	-45.99927194
3.69964765	-46.40021011
3.70697369	-46.98154269
3.71429972	-47.84914702
3.72162576	-48.40135719
3.72895179	-49.22775742
3.73627783	-49.30965283
3.74360386	-49.40296312
3.75092990	-49.27481555
3.75825593	-49.07407350
3.76558197	-49.27240949
3.77290800	-49.63352245
3.78023404	-50.10256012
3.78756007	-51.13692925
3.79488611	-52.90966557
3.80221214	-58.49904005
3.80953818	-55.24658760
3.81686421	-49.65912252
3.82419025	-49.75637824
3.83151628	-51.72910337
3.83884232	-51.98718320
3.84616835	-52.74042729
3.85349439	-53.03126224
3.86082042	-53.31228597
3.86814646	-53.47042335
3.87547249	-53.57850392
3.88279853	-54.22660985
3.89012456	-54.70139441
3.89745060	-55.64775809
3.90477663	-56.60515476
3.91210267	-58.14705336
3.91942870	-60.12531392
3.92675474	-61.35597351
3.93408077	-62.71221670
3.94140681	-63.29058930
3.94873284	-66.44009950
3.95605888	-70.44958596
3.96338491	-64.92763419
3.97071095	-65.60564917
3.97803698	-65.51760639
3.98536302	-61.60402642
3.99268905	-62.56224898
4.00001509	-69.18801219
4.00734112	-71.59927929
4.01466716	-69.57521898
4.02199319	-71.66555259
4.02931923	-75.39970415
4.03664526	-77.20302194
4.04397130	-79.79589585
4.05129733	-83.27971719
4.05862337	-83.47523742
4.06594940	-80.24844538
4.07327544	-77.21052372
4.08060147	-74.44714387
4.08792751	-70.34324610
4.09525354	-67.34830817
4.10257958	-65.72454204
4.10990561	-64.32604367
4.11723165	-63.72867609
4.12455768	-62.53170352
4.13188372	-61.78942316
4.13920975	-61.04701747
4.14653579	-60.18897325
4.15386182	-60.09155785
4.16118786	-57.74999585
4.16851389	-58.29920301
4.17583993	-67.96232583
4.18316596	-64.29485040
4.19049200	-62.91667700
4.19781803	-69.78206007
4.20514407	-63.63525187
4.21247010	-61.62588919
4.21979614	-62.59280730
4.22712217	-64.86956386
4.23444821	-61.68807197
4.24177424	-60.81256586
4.24910028	-61.42072827
4.25642631	-60.11090437
4.26375235	-60.06496789
4.27107838	-59.65478131
4.27840442	-59.60659238
4.28573045	-59.82308067
4.29305649	-59.64628221
4.30038252	-60.02861088
