# Menlo Systems GmbH ScanControl
# Program Version 1.7.0+git.a90605a3
# Start: -710.00000000 ps, Average over 5000 waveforms. Timestamp: 2023-11-21T15:39:04
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Frequency [THz]	THz Signal [a.u.]
3.94139197	-64.71119938
3.94871798	-63.85504020
3.95604399	-63.16418255
3.96337000	-59.07872530
3.97069600	-57.81419839
3.97802201	-61.88995918
3.98534802	-68.36727575
3.99267402	-62.79336514
4.00000003	-64.59523828
4.00732604	-68.54365892
4.01465205	-68.06499264
4.02197805	-72.66356501
4.02930406	-75.82832722
4.03663007	-72.52674122
4.04395608	-66.89577820
4.05128208	-63.11841505
4.05860809	-62.15265034
4.06593410	-62.87407553
4.07326011	-64.90690693
4.08058611	-67.53576633
4.08791212	-69.59490363
4.09523813	-70.39517292
4.10256414	-69.53001530
4.10989014	-68.73312735
4.11721615	-65.93831926
4.12454216	-63.41185765
4.13186817	-60.32190760
4.13919417	-57.74678966
4.14652018	-57.41490583
4.15384619	-58.35951056
4.16117219	-59.23706108
4.16849820	-62.69897580
4.17582421	-74.23193667
4.18315022	-66.94649440
4.19047622	-66.74418367
4.19780223	-70.20469152
4.20512824	-65.09198550
4.21245425	-62.60953032
4.21978025	-61.59746262
4.22710626	-60.35874704
4.23443227	-59.58433814
4.24175828	-60.36446439
4.24908428	-62.14865726
4.25641029	-62.79571825
4.26373630	-63.46329063
4.27106231	-64.30464014
4.27838831	-63.76795142
4.28571432	-63.43341669
4.29304033	-62.45208882
4.30036634	-60.56815094
4.30769234	-59.27218942
4.31501835	-59.22281227
4.32234436	-60.42049695
4.32967036	-61.87292934
4.33699637	-63.05293143
4.34432238	-64.14874304
4.35164839	-64.18336639
4.35897439	-63.83988111
4.36630040	-63.40124914
4.37362641	-62.64647462
4.38095242	-61.14231946
4.38827842	-59.19719424
4.39560443	-58.37267875
4.40293044	-58.92122422
4.41025645	-60.19425435
4.41758245	-61.67275543
4.42490846	-63.08090413
4.43223447	-64.20880200
4.43956048	-64.93287828
4.44688648	-65.37962535
4.45421249	-64.74705161
4.46153850	-63.39506505
4.46886450	-63.61847647
4.47619051	-63.49627179
4.48351652	-61.60437977
4.49084253	-61.35963314
4.49816853	-62.32492252
4.50549454	-62.97866189
4.51282055	-65.56783075
4.52014656	-69.66321795
4.52747256	-66.92917359
4.53479857	-66.37704917
4.54212458	-67.53155520
4.54945059	-66.39090418
4.55677659	-65.05521634
4.56410260	-64.67579518
4.57142861	-65.13378645
4.57875462	-66.08091940
4.58608062	-66.80317789
4.59340663	-67.25995504
4.60073264	-68.18462405
4.60805865	-68.96608113
4.61538465	-67.74106163
