# Menlo Systems GmbH ScanControl
# Program Version 1.7.0+git.a90605a3
# Start: -710.00000000 ps, Average over 5000 waveforms. Timestamp: 2023-11-21T15:12:00
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Frequency [THz]	THz Signal [a.u.]
5.33333338	-92.89763651
5.34065938	-87.38008795
5.34798539	-88.86204103
5.35531140	-93.44421406
5.36263741	-86.55803037
5.36996341	-91.85180260
5.37728942	-91.09184351
5.38461543	-93.96460458
5.39194144	-89.03153791
5.39926744	-94.00678869
5.40659345	-89.07423825
5.41391946	-86.95968003
5.42124546	-96.28144726
5.42857147	-90.98603033
5.43589748	-86.16286515
5.44322349	-88.76997738
5.45054949	-95.36246512
5.45787550	-87.12729224
5.46520151	-88.60256996
5.47252752	-95.14422405
5.47985352	-85.48979059
5.48717953	-87.78386257
5.49450554	-91.39786789
5.50183155	-85.44306415
5.50915755	-86.96152266
5.51648356	-93.36322083
5.52380957	-90.74335169
5.53113558	-85.59244347
5.53846158	-87.30804853
5.54578759	-88.09026093
5.55311360	-87.32997971
5.56043961	-92.86803696
5.56776561	-102.96869279
5.57509162	-88.58625141
5.58241763	-83.84451282
5.58974363	-89.80065054
5.59706964	-89.44123049
5.60439565	-84.10822160
5.61172166	-89.04478406
5.61904766	-95.44793658
5.62637367	-92.83017899
5.63369968	-91.00548182
5.64102569	-86.66507628
5.64835169	-85.50825472
5.65567770	-91.75172244
5.66300371	-86.78274215
5.67032972	-84.64187986
5.67765572	-89.85520559
5.68498173	-98.15972206
5.69230774	-97.54930353
5.69963375	-96.01871075
5.70695975	-97.41694272
5.71428576	-89.60440612
5.72161177	-87.58101359
5.72893778	-95.96189146
5.73626378	-90.88495343
5.74358979	-85.74594590
5.75091580	-87.88952268
5.75824180	-93.09311179
5.76556781	-92.11042937
5.77289382	-93.00169905
5.78021983	-105.84581248
5.78754583	-95.85606745
5.79487184	-96.81401702
5.80219785	-91.55511446
5.80952386	-86.88250498
5.81684986	-91.11880526
5.82417587	-103.31243930
5.83150188	-102.41714748
5.83882789	-91.03344717
5.84615389	-88.28956546
5.85347990	-91.49477600
5.86080591	-97.70953984
5.86813192	-107.92127037
5.87545792	-100.89175661
5.88278393	-90.21047413
5.89010994	-88.07827370
5.89743594	-96.03483618
5.90476195	-95.58584475
5.91208796	-91.68384750
5.91941397	-91.98363421
5.92673997	-92.51240485
5.93406598	-111.47522922
5.94139199	-91.62147444
5.94871800	-91.76068605
5.95604400	-88.94650266
5.96337001	-85.60802954
5.97069602	-88.45750374
5.97802203	-99.98375654
5.98534803	-99.68088201
5.99267404	-95.96389644
6.00000005	-90.48361485
6.00732606	-86.89195577
6.01465206	-91.83319264
6.02197807	-94.09125171
6.02930408	-87.06541185
6.03663009	-90.36341228
6.04395609	-105.34563502
6.05128210	-100.84728181
6.05860811	-89.54685058
6.06593411	-87.99912486
6.07326012	-94.84977411
6.08058613	-90.85022221
6.08791214	-91.32769273
6.09523814	-104.14290917
6.10256415	-92.97395029
6.10989016	-90.31568127
6.11721617	-93.86316578
6.12454217	-106.58956097
6.13186818	-96.04270327
6.13919419	-89.69265089
6.14652020	-87.90903273
6.15384620	-90.17507118
6.16117221	-92.06572684
6.16849822	-94.62951102
6.17582423	-96.95886960
6.18315023	-90.59650513
6.19047624	-87.95096838
6.19780225	-92.04500011
6.20512826	-99.23434675
6.21245426	-93.68866788
6.21978027	-96.30778417
