# Menlo Systems GmbH ScanControl
# Program Version 1.7.0+git.a90605a3
# Start: -710.00000000 ps, Average over 5000 waveforms. Timestamp: 2023-11-21T14:39:58
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Frequency [THz]	THz Signal [a.u.]
2.63736266	-77.39204137
2.64468867	-81.39177572
2.65201467	-87.94189567
2.65934068	-89.74002334
2.66666669	-94.19193799
2.67399269	-94.04645738
2.68131870	-88.59217012
2.68864471	-89.37809065
2.69597072	-95.81669822
2.70329672	-88.99381622
2.71062273	-84.02224942
2.71794874	-80.06410943
2.72527475	-78.93272712
2.73260075	-82.90244942
2.73992676	-91.78873943
2.74725277	-86.93644461
2.75457878	-87.16262457
2.76190478	-81.33079137
2.76923079	-78.52970767
2.77655680	-80.17773946
2.78388281	-90.79051768
2.79120881	-83.39291921
2.79853482	-79.20910589
2.80586083	-80.42307895
2.81318684	-82.11499375
2.82051284	-81.29144209
2.82783885	-84.61164515
2.83516486	-93.60761742
2.84249086	-82.15458147
2.84981687	-83.55519911
2.85714288	-94.26282647
2.86446889	-107.08753811
2.87179489	-88.77511880
2.87912090	-86.41006753
2.88644691	-100.09123787
2.89377292	-87.81788014
2.90109892	-87.51953766
2.90842493	-89.11068243
2.91575094	-95.32862433
2.92307695	-97.74361796
2.93040295	-90.22180662
2.93772896	-89.39238693
2.94505497	-95.81494207
2.95238098	-87.93460378
2.95970698	-85.31456455
2.96703299	-84.05784074
2.97435900	-81.51580705
2.98168500	-81.34015353
2.98901101	-82.54424939
2.99633702	-83.82476861
3.00366303	-92.07595558
3.01098903	-86.64212282
3.01831504	-83.65574537
3.02564105	-89.00823345
3.03296706	-91.47216599
3.04029306	-93.39400902
3.04761907	-82.00204246
3.05494508	-84.21282151
3.06227109	-86.98778401
3.06959709	-84.37808417
3.07692310	-88.16627406
3.08424911	-82.80789946
3.09157512	-89.95704543
3.09890112	-85.25009357
3.10622713	-81.47586792
3.11355314	-79.48951842
3.12087915	-81.31495843
3.12820515	-85.73763402
3.13553116	-84.09466143
3.14285717	-87.82532825
3.15018317	-83.82085949
3.15750918	-78.37625152
3.16483519	-79.39290800
3.17216120	-86.53139293
3.17948720	-86.28007370
3.18681321	-87.79551471
3.19413922	-91.02656407
3.20146523	-101.39996998
3.20879123	-88.95593437
3.21611724	-95.31973661
3.22344325	-90.63101680
3.23076926	-85.70078873
3.23809526	-81.49562973
3.24542127	-80.88612171
3.25274728	-83.00278789
3.26007329	-86.25239457
3.26739929	-95.41328630
3.27472530	-82.23118798
3.28205131	-77.96955626
3.28937731	-81.72451683
3.29670332	-90.01900480
3.30402933	-81.78487574
3.31135534	-85.18140553
3.31868134	-97.49933959
3.32600735	-86.66768438
3.33333336	-79.69546743
3.34065937	-80.69681309
3.34798537	-88.59541181
3.35531138	-89.39096034
3.36263739	-93.18036853
3.36996340	-108.94783419
3.37728940	-116.43938285
3.38461541	-92.52277007
3.39194142	-88.66638498
3.39926743	-91.67151011
3.40659343	-93.91421175
3.41391944	-94.98068430
3.42124545	-91.15028472
3.42857146	-84.96382309
3.43589746	-82.61737327
3.44322347	-82.40200395
3.45054948	-83.90110474
3.45787548	-85.43614398
3.46520149	-87.49950199
3.47252750	-92.25782596
3.47985351	-95.96293128
3.48717951	-88.83943278
3.49450552	-87.19197583
3.50183153	-91.90705784
3.50915754	-92.76689329
3.51648354	-83.10991299
3.52380955	-80.16712132
3.53113556	-81.29690522
3.53846157	-82.83600616
3.54578757	-80.84772509
3.55311358	-78.79822249
3.56043959	-79.64209355
3.56776560	-83.07957439
3.57509160	-80.81919651
3.58241761	-77.13595409
3.58974362	-79.83976031
3.59706963	-90.19676546
3.60439563	-94.99111762
3.61172164	-83.38658587
3.61904765	-77.85628090
3.62637365	-81.79403697
3.63369966	-97.08025190
3.64102567	-88.42101241
3.64835168	-97.41626466
3.65567768	-95.00829335
3.66300369	-96.70395055
3.67032970	-94.22604043
3.67765571	-89.79010538
3.68498171	-94.45595551
3.69230772	-89.48327064
3.69963373	-99.87037607
3.70695974	-84.85240824
3.71428574	-81.54980174
3.72161175	-87.37782343
3.72893776	-91.38828088
3.73626377	-84.55419234
3.74358977	-81.85487558
3.75091578	-85.20403374
3.75824179	-89.14258966
3.76556779	-82.82079810
3.77289380	-85.58403405
3.78021981	-97.78175622
3.78754582	-98.50785091
3.79487182	-89.49370696
3.80219783	-92.01607762
3.80952384	-89.21702468
3.81684985	-80.92245965
3.82417585	-80.78504177
3.83150186	-84.45313298
3.83882787	-86.34520445
3.84615388	-83.85509512
3.85347988	-83.89965331
3.86080589	-86.95907442
3.86813190	-84.63559023
3.87545791	-86.08361614
3.88278391	-100.75667750
3.89010992	-83.82357485
3.89743593	-83.80213439
3.90476194	-94.97562040
3.91208794	-90.32866451
3.91941395	-88.46336307
3.92673996	-93.85081045
3.93406596	-90.88342450
3.94139197	-85.99096431
3.94871798	-85.73254945
3.95604399	-90.04935266
3.96336999	-93.93913773
3.97069600	-90.29423336
3.97802201	-90.05650278
3.98534802	-99.95053003
3.99267402	-89.05559222
4.00000003	-84.45350367
4.00732604	-85.89109674
4.01465205	-86.43330605
4.02197805	-84.36354824
4.02930406	-86.64733100
4.03663007	-104.82736868
4.04395608	-87.14429464
4.05128208	-88.06870245
4.05860809	-89.12018673
4.06593410	-80.66454314
4.07326010	-81.63876329
4.08058611	-90.48627966
4.08791212	-92.85322571
4.09523813	-90.43573114
4.10256413	-81.68359051
4.10989014	-83.73324753
4.11721615	-85.44934063
4.12454216	-81.04032023
4.13186816	-86.23445001
4.13919417	-89.37421667
4.14652018	-82.54443834
4.15384619	-83.03116726
4.16117219	-87.59411080
4.16849820	-86.15437824
4.17582421	-79.82974983
4.18315022	-80.63384715
4.19047622	-88.44354173
4.19780223	-81.61624133
4.20512824	-81.49251061
4.21245425	-99.62230055
4.21978025	-81.04776861
4.22710626	-76.94694912
4.23443227	-79.03061817
4.24175827	-92.38860856
4.24908428	-80.12092766
4.25641029	-78.74922314
4.26373630	-84.77785579
4.27106230	-89.58732560
4.27838831	-92.92454473
4.28571432	-84.08123713
4.29304033	-82.30888884
4.30036633	-81.17249383
4.30769234	-81.91476491
4.31501835	-93.22244975
4.32234436	-83.28801945
4.32967036	-83.61898090
4.33699637	-87.30850675
4.34432238	-83.77539554
4.35164839	-91.27344676
4.35897439	-87.69984297
4.36630040	-83.95939169
4.37362641	-85.18654333
4.38095242	-94.78568064
4.38827842	-87.64194957
4.39560443	-87.20836943
4.40293044	-92.27769867
4.41025644	-80.64107879
4.41758245	-78.65058756
4.42490846	-81.00573428
4.43223447	-87.35922300
4.43956047	-88.09659452
4.44688648	-80.58190269
4.45421249	-78.75216118
4.46153850	-85.82380764
4.46886450	-83.73288204
4.47619051	-82.19821893
4.48351652	-88.02355809
4.49084253	-88.37754336
4.49816853	-83.48947231
4.50549454	-83.99609696
4.51282055	-90.69216632
4.52014656	-88.72282034
4.52747256	-87.90356872
4.53479857	-80.16504054
4.54212458	-79.29933227
4.54945058	-86.83086194
4.55677659	-84.38080226
4.56410260	-78.34142922
4.57142861	-81.96772494
4.57875461	-94.32375770
4.58608062	-86.21681963
4.59340663	-95.39783545
4.60073264	-90.94719589
4.60805864	-95.55050026
4.61538465	-97.06118463
4.62271066	-92.05488188
4.63003667	-94.27286968
4.63736267	-86.72961831
4.64468868	-82.57973769
4.65201469	-87.37948106
4.65934070	-84.57733801
4.66666670	-80.97389802
4.67399271	-85.35415398
4.68131872	-98.92581061
4.68864473	-86.77750117
4.69597073	-89.81130619
4.70329674	-88.37651727
4.71062275	-88.78047949
4.71794875	-99.46186015
4.72527476	-91.81502095
4.73260077	-89.06232595
4.73992678	-95.83706219
4.74725278	-85.27040820
4.75457879	-79.47494613
4.76190480	-81.10421298
4.76923081	-101.39369061
4.77655681	-82.38122064
4.78388282	-80.08631045
4.79120883	-82.77751232
4.79853484	-84.60911232
4.80586084	-84.16658088
4.81318685	-84.80858388
4.82051286	-86.44376602
4.82783887	-92.82470398
4.83516487	-85.99425150
4.84249088	-81.25916812
4.84981689	-83.76361012
4.85714289	-88.59669527
4.86446890	-84.45529120
4.87179491	-86.94696919
4.87912092	-85.86635929
4.88644692	-82.20033797
4.89377293	-81.82740439
4.90109894	-86.39183185
4.90842495	-103.89455000
4.91575095	-91.28444248
4.92307696	-94.23065984
4.93040297	-82.34624047
4.93772898	-82.85608328
4.94505498	-89.28700931
4.95238099	-82.84647692
4.95970700	-87.36824783
4.96703301	-93.18557513
4.97435901	-89.16350024
4.98168502	-98.52019765
4.98901103	-88.24640141
4.99633704	-91.72231101
5.00366304	-88.60832524
5.01098905	-92.47072408
5.01831506	-90.37394738
5.02564106	-84.89786458
5.03296707	-81.66784676
5.04029308	-80.84509646
5.04761909	-83.82319566
5.05494509	-87.58249865
5.06227110	-89.37646105
5.06959711	-86.47518501
5.07692312	-81.67157649
5.08424912	-78.42542825
5.09157513	-78.88912906
5.09890114	-81.20237828
5.10622715	-81.21226708
5.11355315	-82.61373040
5.12087916	-85.75753200
5.12820517	-88.86546278
5.13553118	-94.32280190
5.14285718	-88.04888890
5.15018319	-82.72997565
5.15750920	-85.47669049
5.16483521	-90.58835881
5.17216121	-83.96774145
5.17948722	-83.81113906
5.18681323	-89.33055452
5.19413923	-105.00719631
5.20146524	-87.83127652
5.20879125	-82.57910962
5.21611726	-80.84084753
5.22344326	-83.89828473
5.23076927	-91.83338638
5.23809528	-88.07361680
5.24542129	-94.64862463
5.25274729	-88.82648939
5.26007330	-88.95367036
5.26739931	-85.64899801
