# Menlo Systems GmbH ScanControl
# Program Version 1.7.0+git.a90605a3
# Start: -710.00000000 ps, Average over 5000 waveforms. Timestamp: 2023-11-21T14:56:41
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Frequency [THz]	THz Signal [a.u.]
1.75091577	-51.98759175
1.75824177	-52.05144043
1.76556778	-52.45130339
1.77289379	-52.45088752
1.78021979	-52.37412001
1.78754580	-52.68417318
1.79487181	-52.67059576
1.80219782	-52.61026352
1.80952382	-53.09402137
1.81684983	-53.37938535
1.82417584	-53.28269846
1.83150185	-53.50597149
1.83882785	-53.87712351
1.84615386	-54.20886154
1.85347987	-54.71963425
1.86080588	-55.06526638
1.86813188	-55.08326114
1.87545789	-55.33105248
1.88278390	-55.86460182
1.89010991	-56.25476172
1.89743591	-56.52686204
1.90476192	-56.86041737
1.91208793	-57.05518621
1.91941393	-57.18940761
1.92673994	-57.56704404
1.93406595	-57.84533202
1.94139196	-57.83628697
1.94871796	-58.12427962
1.95604397	-58.65219864
1.96336998	-58.85909008
1.97069599	-59.09283303
1.97802199	-59.65670127
1.98534800	-60.17516347
1.99267401	-60.61765819
2.00000002	-60.88893225
2.00732602	-60.67190597
2.01465203	-60.68717086
2.02197804	-61.37643314
2.02930405	-61.76682019
2.03663005	-61.62414872
2.04395606	-61.73240718
2.05128207	-61.84357651
2.05860808	-61.45386378
2.06593408	-61.16054400
2.07326009	-61.53376402
2.08058610	-62.09035656
2.08791210	-61.88676660
2.09523811	-61.26735559
2.10256412	-61.13278847
2.10989013	-61.32695511
2.11721613	-61.26161489
2.12454214	-61.26662179
2.13186815	-61.43811018
2.13919416	-61.45992813
2.14652016	-61.54579462
2.15384617	-61.58214746
2.16117218	-61.28734824
2.16849819	-61.32217039
2.17582419	-61.80185485
2.18315020	-62.09778519
2.19047621	-62.50846615
2.19780222	-63.14041384
2.20512822	-63.13084587
2.21245423	-63.05223066
2.21978024	-63.77956138
2.22710625	-64.42806815
2.23443225	-64.45622527
2.24175826	-64.96618641
2.24908427	-65.92080057
2.25641027	-66.69295663
2.26373628	-67.83227564
2.27106229	-68.92525163
2.27838830	-68.94558216
2.28571430	-69.82898023
2.29304031	-73.75739851
2.30036632	-76.98585909
2.30769233	-75.40348409
2.31501833	-74.10990629
2.32234434	-73.27236994
2.32967035	-75.24589938
2.33699636	-77.16273367
2.34432236	-75.15027874
2.35164837	-73.27857304
2.35897438	-71.60290686
2.36630039	-69.94386287
2.37362639	-69.77501811
2.38095240	-70.39600625
2.38827841	-70.32882966
2.39560441	-69.86062553
2.40293042	-69.12082563
2.41025643	-68.64643727
2.41758244	-69.11317674
2.42490844	-69.08209104
2.43223445	-68.28474372
2.43956046	-68.74702037
2.44688647	-70.12536750
2.45421247	-71.12088568
2.46153848	-73.37077506
2.46886449	-76.52534572
2.47619050	-76.20086140
2.48351650	-78.29761331
2.49084251	-87.52453597
2.49816852	-82.48279852
2.50549453	-83.55670769
2.51282053	-86.55852766
2.52014654	-77.09804844
2.52747255	-76.53283522
2.53479856	-80.56201584
2.54212456	-79.48946542
2.54945057	-79.11772091
2.55677658	-80.59525576
2.56410258	-77.62500734
2.57142859	-77.03114006
2.57875460	-78.57102728
2.58608061	-76.46650292
2.59340661	-75.06994925
2.60073262	-76.71616833
2.60805863	-77.52252338
2.61538464	-76.71978245
2.62271064	-77.79341275
2.63003665	-80.37080425
2.63736266	-82.89973968
2.64468867	-83.60118078
2.65201467	-80.30958102
2.65934068	-78.96646227
2.66666669	-81.15135618
2.67399270	-83.45827207
2.68131870	-81.10763407
2.68864471	-77.75716923
2.69597072	-76.27175538
2.70329673	-77.32678416
2.71062273	-80.01473146
2.71794874	-80.43757622
2.72527475	-77.97820111
2.73260075	-78.77472480
2.73992676	-85.32230933
2.74725277	-84.65314708
2.75457878	-81.38196855
2.76190478	-81.91116068
2.76923079	-84.91480912
2.77655680	-96.84711258
2.78388281	-83.14177411
2.79120881	-78.89318328
2.79853482	-79.14698877
2.80586083	-81.46277403
2.81318684	-84.34448318
2.82051284	-83.60347701
2.82783885	-77.55173935
2.83516486	-74.84826897
2.84249087	-76.16376545
2.84981687	-82.86623502
2.85714288	-108.79165039
2.86446889	-90.76581281
2.87179489	-91.05982889
2.87912090	-88.75230930
2.88644691	-87.33545001
2.89377292	-87.51464334
2.90109892	-89.10608295
2.90842493	-92.37882073
2.91575094	-89.37153689
2.92307695	-81.78105445
2.93040295	-79.08454731
2.93772896	-81.24505753
2.94505497	-90.74660104
2.95238098	-95.76522926
2.95970698	-86.64534025
2.96703299	-84.03296793
2.97435900	-91.78041989
2.98168501	-85.86966866
2.98901101	-81.45974730
2.99633702	-87.04085723
3.00366303	-91.07567281
3.01098904	-84.06288269
3.01831504	-84.89937508
3.02564105	-84.14047561
