# Menlo Systems GmbH ScanControl
# Program Version 1.7.0+git.a90605a3
# Start: -710.00000000 ps, Average over 2000 waveforms. Timestamp: 2023-11-21T14:28:46
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Time [ps]	THz Signal [a.u.]
-699.68264279	0.14824477
-699.64930958	0.12699593
-699.61597638	0.09537339
-699.58264317	0.05713143
-699.54930996	0.01555594
-699.51597675	-0.02656781
-699.48264354	-0.06560715
-699.44931034	-0.09794287
-699.41597713	-0.12056155
-699.38264392	-0.13170334
-699.34931071	-0.13054705
-699.31597751	-0.11713613
-699.28264430	-0.09296323
-699.24931109	-0.06122146
-699.21597788	-0.02603967
-699.18264468	0.00791343
-699.14931147	0.03701526
-699.11597826	0.05923199
-699.08264505	0.07314530
-699.04931185	0.07841474
-699.01597864	0.07514438
-698.98264543	0.06455349
-698.94931222	0.04943943
-698.91597902	0.03239227
-698.88264581	0.01509133
-698.84931260	-0.00165256
-698.81597939	-0.01729063
-698.78264619	-0.03079150
-698.74931298	-0.04034143
-698.71597977	-0.04457136
-698.68264656	-0.04394065
-698.64931335	-0.03985083
-698.61598015	-0.03344358
-698.58264694	-0.02588108
-698.54931373	-0.01711543
-698.51598052	-0.00800433
-698.48264732	-0.00019969
-698.44931411	0.00498599
-698.41598090	0.00751856
-698.38264769	0.00846337
-698.34931449	0.00933476
-698.31598128	0.01020800
-698.28264807	0.01025279
-698.24931486	0.00900460
-698.21598166	0.00642328
-698.18264845	0.00288562
-698.14931524	-0.00121498
-698.11598203	-0.00601138
-698.08264883	-0.01086478
-698.04931562	-0.01448199
-698.01598241	-0.01568017
-697.98264920	-0.01465772
-697.94931600	-0.01289675
-697.91598279	-0.01214143
-697.88264958	-0.01287540
-697.84931637	-0.01460476
-697.81598316	-0.01679563
-697.78264996	-0.02001932
-697.74931675	-0.02556302
-697.71598354	-0.03377277
-697.68265033	-0.04374235
-697.64931713	-0.05372661
-697.61598392	-0.06188789
-697.58265071	-0.06683553
-697.54931750	-0.06751102
-697.51598430	-0.06312482
-697.48265109	-0.05380614
-697.44931788	-0.03984426
-697.41598467	-0.02253239
-697.38265147	-0.00244700
-697.34931826	0.02003793
-697.31598505	0.04408377
-697.28265184	0.06754766
-697.24931864	0.08817745
-697.21598543	0.10384372
-697.18265222	0.11316501
-697.14931901	0.11534529
-697.11598580	0.11004328
-697.08265260	0.09736321
-697.04931939	0.07897481
-697.01598618	0.05690222
-696.98265297	0.03315950
-696.94931977	0.00931058
-696.91598656	-0.01286786
-696.88265335	-0.03200812
-696.84932014	-0.04690108
-696.81598694	-0.05721840
-696.78265373	-0.06341700
-696.74932052	-0.06622140
-696.71598731	-0.06618745
-696.68265411	-0.06431409
-696.64932090	-0.06210938
-696.61598769	-0.06124454
-696.58265448	-0.06288596
-696.54932128	-0.06654727
-696.51598807	-0.07123452
-696.48265486	-0.07610820
-696.44932165	-0.08054912
-696.41598845	-0.08434051
-696.38265524	-0.08655972
-696.34932203	-0.08651991
-696.31598882	-0.08410903
-696.28265561	-0.07950420
-696.24932241	-0.07313442
-696.21598920	-0.06537715
-696.18265599	-0.05622933
-696.14932278	-0.04651197
-696.11598958	-0.03737069
-696.08265637	-0.02913826
-696.04932316	-0.02189494
-696.01598995	-0.01482230
-695.98265675	-0.00798238
-695.94932354	-0.00172968
-695.91599033	0.00325368
-695.88265712	0.00708575
-695.84932392	0.00989634
-695.81599071	0.01154789
-695.78265750	0.01193660
-695.74932429	0.01075240
-695.71599109	0.00827906
-695.68265788	0.00545252
-695.64932467	0.00289924
-695.61599146	0.00154855
-695.58265825	0.00245351
-695.54932505	0.00528016
-695.51599184	0.00929787
-695.48265863	0.01292993
-695.44932542	0.01440141
-695.41599222	0.01238669
-695.38265901	0.00680698
-695.34932580	-0.00149325
-695.31599259	-0.01122385
-695.28265939	-0.02092329
-695.24932618	-0.02969862
-695.21599297	-0.03729685
-695.18265976	-0.04326975
-695.14932656	-0.04781749
-695.11599335	-0.05058344
-695.08266014	-0.05156473
-695.04932693	-0.05031553
-695.01599373	-0.04707062
-694.98266052	-0.04189815
-694.94932731	-0.03495988
-694.91599410	-0.02732079
-694.88266090	-0.01922569
-694.84932769	-0.01151830
-694.81599448	-0.00413119
-694.78266127	0.00255771
-694.74932806	0.00788035
-694.71599486	0.01147404
-694.68266165	0.01300682
-694.64932844	0.01257612
-694.61599523	0.01135964
-694.58266203	0.01030472
-694.54932882	0.01091319
-694.51599561	0.01360241
-694.48266240	0.01800854
-694.44932920	0.02296185
-694.41599599	0.02677319
-694.38266278	0.02810252
-694.34932957	0.02669169
-694.31599637	0.02337154
-694.28266316	0.01926997
-694.24932995	0.01554502
-694.21599674	0.01254171
-694.18266354	0.01000549
-694.14933033	0.00761798
-694.11599712	0.00551651
-694.08266391	0.00378400
-694.04933071	0.00271828
-694.01599750	0.00334362
-693.98266429	0.00560738
-693.94933108	0.00908880
-693.91599787	0.01333829
-693.88266467	0.01729563
-693.84933146	0.02061408
-693.81599825	0.02344398
-693.78266504	0.02635278
-693.74933184	0.02956764
-693.71599863	0.03345603
-693.68266542	0.03726204
-693.64933221	0.04038502
-693.61599901	0.04170954
-693.58266580	0.04052637
-693.54933259	0.03653170
-693.51599938	0.03014281
-693.48266618	0.02235585
-693.44933297	0.01437092
-693.41599976	0.00752158
-693.38266655	0.00259765
-693.34933335	0.00061874
-693.31600014	0.00163391
-693.28266693	0.00566511
-693.24933372	0.01185816
-693.21600051	0.01941874
-693.18266731	0.02799453
-693.14933410	0.03702260
-693.11600089	0.04551359
-693.08266768	0.05348658
-693.04933448	0.06031123
-693.01600127	0.06622991
-692.98266806	0.07194787
-692.94933485	0.07746544
-692.91600165	0.08191900
-692.88266844	0.08478558
-692.84933523	0.08410319
-692.81600202	0.07862549
-692.78266882	0.06726261
-692.74933561	0.04916398
-692.71600240	0.02450403
-692.68266919	-0.00604773
-692.64933599	-0.04188524
-692.61600278	-0.08229671
-692.58266957	-0.12726316
-692.54933636	-0.17651016
-692.51600316	-0.22852549
-692.48266995	-0.28044119
-692.44933674	-0.32745815
-692.41600353	-0.36336382
-692.38267032	-0.38138354
-692.34933712	-0.37629438
-692.31600391	-0.34561518
-692.28267070	-0.29083382
-692.24933749	-0.21708188
-692.21600429	-0.13191041
-692.18267108	-0.04284053
-692.14933787	0.04280583
-692.11600466	0.11924063
-692.08267146	0.18205074
-692.04933825	0.22852394
-692.01600504	0.25723437
-691.98267183	0.26883724
-691.94933863	0.26445055
-691.91600542	0.24628360
-691.88267221	0.21663136
-691.84933900	0.17805894
-691.81600580	0.13387462
-691.78267259	0.08764204
-691.74933938	0.04334119
-691.71600617	0.00493686
-691.68267297	-0.02474940
-691.64933976	-0.04389451
-691.61600655	-0.05271353
-691.58267334	-0.05310552
-691.54934013	-0.04697410
-691.51600693	-0.03671757
-691.48267372	-0.02420974
-691.44934051	-0.01137589
-691.41600730	0.00035000
-691.38267410	0.00981595
-691.34934089	0.01594011
-691.31600768	0.01855851
-691.28267447	0.01763213
-691.24934127	0.01418408
-691.21600806	0.00933282
-691.18267485	0.00430439
-691.14934164	-0.00002105
-691.11600844	-0.00380644
-691.08267523	-0.00723096
-691.04934202	-0.01004017
-691.01600881	-0.01222143
-690.98267561	-0.01320612
-690.94934240	-0.01262972
-690.91600919	-0.01007005
-690.88267598	-0.00569867
-690.84934277	-0.00007224
-690.81600957	0.00596726
-690.78267636	0.01128534
-690.74934315	0.01493376
-690.71600994	0.01677332
-690.68267674	0.01687787
-690.64934353	0.01544141
-690.61601032	0.01263258
-690.58267711	0.00873669
-690.54934391	0.00400752
-690.51601070	-0.00086511
-690.48267749	-0.00521954
-690.44934428	-0.00847719
-690.41601108	-0.00980219
-690.38267787	-0.00885985
-690.34934466	-0.00547251
-690.31601145	-0.00017455
-690.28267825	0.00637075
-690.24934504	0.01347377
-690.21601183	0.02043257
-690.18267862	0.02640490
-690.14934542	0.03106456
-690.11601221	0.03407734
-690.08267900	0.03539736
-690.04934579	0.03531718
-690.01601258	0.03392445
-689.98267938	0.03175525
-689.94934617	0.02893849
-689.91601296	0.02611521
-689.88267975	0.02355330
-689.84934655	0.02139345
-689.81601334	0.01941364
-689.78268013	0.01734121
-689.74934692	0.01511220
-689.71601372	0.01265354
-689.68268051	0.01019504
-689.64934730	0.00779575
-689.61601409	0.00576818
-689.58268089	0.00399908
-689.54934768	0.00232997
-689.51601447	0.00058441
-689.48268126	-0.00153345
-689.44934806	-0.00421117
-689.41601485	-0.00728805
-689.38268164	-0.01027109
-689.34934843	-0.01326180
-689.31601522	-0.01579622
-689.28268202	-0.01779598
-689.24934881	-0.01833557
-689.21601560	-0.01706208
-689.18268239	-0.01370634
-689.14934919	-0.00881191
-689.11601598	-0.00247626
-689.08268277	0.00498470
-689.04934956	0.01343466
